dTime	dValue	-1
1	0.371137515	-1
2	0.371137515	-1
3	0.371137515	-1
4	0.371137515	-1
5	0.371137515	-1
6	0.371137515	-1
7	0.371137515	-1
8	0.371137515	-1
9	0.371137515	-1
10	0.371137515	-1
11	0.371137515	-1
12	0.371137515	-1
13	0.371137515	-1
14	0.371137515	-1
15	0.371137515	-1
16	0.371137515	-1
17	0.371137515	-1
18	0.371137515	-1
19	0.371137515	-1
20	0.371137515	-1
21	0.371137515	-1
22	0.371137515	-1
23	0.371137515	-1
24	0.371137515	-1
25	0.371137515	-1
26	0.371137515	-1
27	0.371137515	-1
28	0.371137515	-1
29	0.371137515	-1
30	0.371137515	-1
31	0.371137515	-1
32	0.321445463	-1
33	0.321445463	-1
34	0.321445463	-1
35	0.321445463	-1
36	0.321445463	-1
37	0.321445463	-1
38	0.321445463	-1
39	0.321445463	-1
40	0.321445463	-1
41	0.321445463	-1
42	0.321445463	-1
43	0.321445463	-1
44	0.321445463	-1
45	0.321445463	-1
46	0.321445463	-1
47	0.321445463	-1
48	0.321445463	-1
49	0.321445463	-1
50	0.321445463	-1
51	0.321445463	-1
52	0.321445463	-1
53	0.321445463	-1
54	0.321445463	-1
55	0.321445463	-1
56	0.321445463	-1
57	0.321445463	-1
58	0.321445463	-1
59	0.321445463	-1
60	0.739351969	-1
61	0.739351969	-1
62	0.739351969	-1
63	0.739351969	-1
64	0.739351969	-1
65	0.739351969	-1
66	0.739351969	-1
67	0.739351969	-1
68	0.739351969	-1
69	0.739351969	-1
70	0.739351969	-1
71	0.739351969	-1
72	0.739351969	-1
73	0.739351969	-1
74	0.739351969	-1
75	0.739351969	-1
76	0.739351969	-1
77	0.739351969	-1
78	0.739351969	-1
79	0.739351969	-1
80	0.739351969	-1
81	0.739351969	-1
82	0.739351969	-1
83	0.739351969	-1
84	0.739351969	-1
85	0.739351969	-1
86	0.739351969	-1
87	0.739351969	-1
88	0.739351969	-1
89	0.739351969	-1
90	0.739351969	-1
91	0.658632832	-1
92	0.658632832	-1
93	0.658632832	-1
94	0.658632832	-1
95	0.658632832	-1
96	0.658632832	-1
97	0.658632832	-1
98	0.658632832	-1
99	0.658632832	-1
100	0.658632832	-1
101	0.658632832	-1
102	0.658632832	-1
103	0.658632832	-1
104	0.658632832	-1
105	0.658632832	-1
106	0.658632832	-1
107	0.658632832	-1
108	0.658632832	-1
109	0.658632832	-1
110	0.658632832	-1
111	0.658632832	-1
112	0.658632832	-1
113	0.658632832	-1
114	0.658632832	-1
115	0.658632832	-1
116	0.658632832	-1
117	0.658632832	-1
118	0.658632832	-1
119	0.658632832	-1
120	0.658632832	-1
121	3.086479327	-1
122	3.086479327	-1
123	3.086479327	-1
124	3.086479327	-1
125	3.086479327	-1
126	3.086479327	-1
127	3.086479327	-1
128	3.086479327	-1
129	3.086479327	-1
130	3.086479327	-1
131	3.086479327	-1
132	3.086479327	-1
133	3.086479327	-1
134	3.086479327	-1
135	3.086479327	-1
136	3.086479327	-1
137	3.086479327	-1
138	3.086479327	-1
139	3.086479327	-1
140	3.086479327	-1
141	3.086479327	-1
142	3.086479327	-1
143	3.086479327	-1
144	3.086479327	-1
145	3.086479327	-1
146	3.086479327	-1
147	3.086479327	-1
148	3.086479327	-1
149	3.086479327	-1
150	3.086479327	-1
151	3.086479327	-1
152	5.358550981	-1
153	5.358550981	-1
154	5.358550981	-1
155	5.358550981	-1
156	5.358550981	-1
157	5.358550981	-1
158	5.358550981	-1
159	5.358550981	-1
160	5.358550981	-1
161	5.358550981	-1
162	5.358550981	-1
163	5.358550981	-1
164	5.358550981	-1
165	5.358550981	-1
166	5.358550981	-1
167	5.358550981	-1
168	5.358550981	-1
169	5.358550981	-1
170	5.358550981	-1
171	5.358550981	-1
172	5.358550981	-1
173	5.358550981	-1
174	5.358550981	-1
175	5.358550981	-1
176	5.358550981	-1
177	5.358550981	-1
178	5.358550981	-1
179	5.358550981	-1
180	5.358550981	-1
181	5.358550981	-1
182	6.384149875	-1
183	6.384149875	-1
184	6.384149875	-1
185	6.384149875	-1
186	6.384149875	-1
187	6.384149875	-1
188	6.384149875	-1
189	6.384149875	-1
190	6.384149875	-1
191	6.384149875	-1
192	6.384149875	-1
193	6.384149875	-1
194	6.384149875	-1
195	6.384149875	-1
196	6.384149875	-1
197	6.384149875	-1
198	6.384149875	-1
199	6.384149875	-1
200	6.384149875	-1
201	6.384149875	-1
202	6.384149875	-1
203	6.384149875	-1
204	6.384149875	-1
205	6.384149875	-1
206	6.384149875	-1
207	6.384149875	-1
208	6.384149875	-1
209	6.384149875	-1
210	6.384149875	-1
211	6.384149875	-1
212	6.384149875	-1
213	5.571021042	-1
214	5.571021042	-1
215	5.571021042	-1
216	5.571021042	-1
217	5.571021042	-1
218	5.571021042	-1
219	5.571021042	-1
220	5.571021042	-1
221	5.571021042	-1
222	5.571021042	-1
223	5.571021042	-1
224	5.571021042	-1
225	5.571021042	-1
226	5.571021042	-1
227	5.571021042	-1
228	5.571021042	-1
229	5.571021042	-1
230	5.571021042	-1
231	5.571021042	-1
232	5.571021042	-1
233	5.571021042	-1
234	5.571021042	-1
235	5.571021042	-1
236	5.571021042	-1
237	5.571021042	-1
238	5.571021042	-1
239	5.571021042	-1
240	5.571021042	-1
241	5.571021042	-1
242	5.571021042	-1
243	5.571021042	-1
244	3.604957431	-1
245	3.604957431	-1
246	3.604957431	-1
247	3.604957431	-1
248	3.604957431	-1
249	3.604957431	-1
250	3.604957431	-1
251	3.604957431	-1
252	3.604957431	-1
253	3.604957431	-1
254	3.604957431	-1
255	3.604957431	-1
256	3.604957431	-1
257	3.604957431	-1
258	3.604957431	-1
259	3.604957431	-1
260	3.604957431	-1
261	3.604957431	-1
262	3.604957431	-1
263	3.604957431	-1
264	3.604957431	-1
265	3.604957431	-1
266	3.604957431	-1
267	3.604957431	-1
268	3.604957431	-1
269	3.604957431	-1
270	3.604957431	-1
271	3.604957431	-1
272	3.604957431	-1
273	3.604957431	-1
274	2.682822748	-1
275	2.682822748	-1
276	2.682822748	-1
277	2.682822748	-1
278	2.682822748	-1
279	2.682822748	-1
280	2.682822748	-1
281	2.682822748	-1
282	2.682822748	-1
283	2.682822748	-1
284	2.682822748	-1
285	2.682822748	-1
286	2.682822748	-1
287	2.682822748	-1
288	2.682822748	-1
289	2.682822748	-1
290	2.682822748	-1
291	2.682822748	-1
292	2.682822748	-1
293	2.682822748	-1
294	2.682822748	-1
295	2.682822748	-1
296	2.682822748	-1
297	2.682822748	-1
298	2.682822748	-1
299	2.682822748	-1
300	2.682822748	-1
301	2.682822748	-1
302	2.682822748	-1
303	2.682822748	-1
304	2.682822748	-1
305	1.168676685	-1
306	1.168676685	-1
307	1.168676685	-1
308	1.168676685	-1
309	1.168676685	-1
310	1.168676685	-1
311	1.168676685	-1
312	1.168676685	-1
313	1.168676685	-1
314	1.168676685	-1
315	1.168676685	-1
316	1.168676685	-1
317	1.168676685	-1
318	1.168676685	-1
319	1.168676685	-1
320	1.168676685	-1
321	1.168676685	-1
322	1.168676685	-1
323	1.168676685	-1
324	1.168676685	-1
325	1.168676685	-1
326	1.168676685	-1
327	1.168676685	-1
328	1.168676685	-1
329	1.168676685	-1
330	1.168676685	-1
331	1.168676685	-1
332	1.168676685	-1
333	1.168676685	-1
334	1.168676685	-1
335	0.340019085	-1
336	0.340019085	-1
337	0.340019085	-1
338	0.340019085	-1
339	0.340019085	-1
340	0.340019085	-1
341	0.340019085	-1
342	0.340019085	-1
343	0.340019085	-1
344	0.340019085	-1
345	0.340019085	-1
346	0.340019085	-1
347	0.340019085	-1
348	0.340019085	-1
349	0.340019085	-1
350	0.340019085	-1
351	0.340019085	-1
352	0.340019085	-1
353	0.340019085	-1
354	0.340019085	-1
355	0.340019085	-1
356	0.340019085	-1
357	0.340019085	-1
358	0.340019085	-1
359	0.340019085	-1
360	0.340019085	-1
361	0.340019085	-1
362	0.340019085	-1
363	0.340019085	-1
364	0.340019085	-1
365	0.340019085	-1
366	0.371137515	-1
367	0.371137515	-1
368	0.371137515	-1
369	0.371137515	-1
370	0.371137515	-1
371	0.371137515	-1
372	0.371137515	-1
373	0.371137515	-1
374	0.371137515	-1
375	0.371137515	-1
376	0.371137515	-1
377	0.371137515	-1
378	0.371137515	-1
379	0.371137515	-1
380	0.371137515	-1
381	0.371137515	-1
382	0.371137515	-1
383	0.371137515	-1
384	0.371137515	-1
385	0.371137515	-1
386	0.371137515	-1
387	0.371137515	-1
388	0.371137515	-1
389	0.371137515	-1
390	0.371137515	-1
391	0.371137515	-1
392	0.371137515	-1
393	0.371137515	-1
394	0.371137515	-1
395	0.371137515	-1
396	0.371137515	-1
397	0.321445463	-1
398	0.321445463	-1
399	0.321445463	-1
400	0.321445463	-1
401	0.321445463	-1
402	0.321445463	-1
403	0.321445463	-1
404	0.321445463	-1
405	0.321445463	-1
406	0.321445463	-1
407	0.321445463	-1
408	0.321445463	-1
409	0.321445463	-1
410	0.321445463	-1
411	0.321445463	-1
412	0.321445463	-1
413	0.321445463	-1
414	0.321445463	-1
415	0.321445463	-1
416	0.321445463	-1
417	0.321445463	-1
418	0.321445463	-1
419	0.321445463	-1
420	0.321445463	-1
421	0.321445463	-1
422	0.321445463	-1
423	0.321445463	-1
424	0.321445463	-1
425	0.739351969	-1
426	0.739351969	-1
427	0.739351969	-1
428	0.739351969	-1
429	0.739351969	-1
430	0.739351969	-1
431	0.739351969	-1
432	0.739351969	-1
433	0.739351969	-1
434	0.739351969	-1
435	0.739351969	-1
436	0.739351969	-1
437	0.739351969	-1
438	0.739351969	-1
439	0.739351969	-1
440	0.739351969	-1
441	0.739351969	-1
442	0.739351969	-1
443	0.739351969	-1
444	0.739351969	-1
445	0.739351969	-1
446	0.739351969	-1
447	0.739351969	-1
448	0.739351969	-1
449	0.739351969	-1
450	0.739351969	-1
451	0.739351969	-1
452	0.739351969	-1
453	0.739351969	-1
454	0.739351969	-1
455	0.739351969	-1
456	0.658632832	-1
457	0.658632832	-1
458	0.658632832	-1
459	0.658632832	-1
460	0.658632832	-1
461	0.658632832	-1
462	0.658632832	-1
463	0.658632832	-1
464	0.658632832	-1
465	0.658632832	-1
466	0.658632832	-1
467	0.658632832	-1
468	0.658632832	-1
469	0.658632832	-1
470	0.658632832	-1
471	0.658632832	-1
472	0.658632832	-1
473	0.658632832	-1
474	0.658632832	-1
475	0.658632832	-1
476	0.658632832	-1
477	0.658632832	-1
478	0.658632832	-1
479	0.658632832	-1
480	0.658632832	-1
481	0.658632832	-1
482	0.658632832	-1
483	0.658632832	-1
484	0.658632832	-1
485	0.658632832	-1
486	3.086479327	-1
487	3.086479327	-1
488	3.086479327	-1
489	3.086479327	-1
490	3.086479327	-1
491	3.086479327	-1
492	3.086479327	-1
493	3.086479327	-1
494	3.086479327	-1
495	3.086479327	-1
496	3.086479327	-1
497	3.086479327	-1
498	3.086479327	-1
499	3.086479327	-1
500	3.086479327	-1
501	3.086479327	-1
502	3.086479327	-1
