RunId Time	_sDepthW_	_sDVeg_	_dDepthW_	_mTemp_	_mQOut_	_mQIn_	_mQEv_	_mPLoad_	_mNLoad_	_uQEv_	_uQIn_	_uQOut_	_vTranDepthW_	_oPTotW_	_oNTotW_	_bPorS_	_aDVeg_	_oChla_	_vDredDepthW_	_tDIMS_	_tDHumS_	_tDDetS_	_vDeltaS_	_vDeltaW_	-1
0	7844.5	4.54303	0.0386368	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	85.1304	1136.22	0.847947	0.0386381	177.468	0	0.161334	4.34145	-3.92853	2.36415e-006	0	-1
0	8212	4.56555	0.0383915	0.00859109	22.4775	5.92821	18.8789	4.35212	0.841098	8.40804	4.35212	18.8668	5.92354	0.00859109	84.6176	1130.7	0.847947	0.0383928	178.308	0	0.160503	4.36872	-4.28406	8.19963e-007	0	-1
0	8576	4.5569	0.0384764	0.00841694	22.2222	5.81437	18.5834	4.35212	0.841058	8.38198	4.35212	18.5834	5.81437	0.00841694	84.8419	1133.95	0.847947	0.0384775	177.685	0	0.161105	4.29847	-3.78929	2.81577e-006	0	-1
0	8940	4.54846	0.0385559	0.00839529	22.2222	5.81412	18.5826	4.35242	0.841058	8.38192	4.3593	18.5629	5.80831	0.00839529	85.0598	1136.99	0.847947	0.0385571	177.048	0	0.161174	4.29974	-3.72157	3.13999e-006	0	-1
0	9304	4.54067	0.0386359	0.00751462	22.2224	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	85.2618	1139.73	0.847947	0.0386371	176.372	0	0.161262	4.30318	-3.66868	3.40488e-006	0	-1
0	9668	4.53305	0.038725	0.00751462	22.3778	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	85.4582	1142.31	0.847947	0.0387264	175.667	0	0.160962	4.34679	-3.84951	2.75948e-006	0	-1
0	10035.5	4.55128	0.0385465	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	84.9644	1136.79	0.847947	0.0385478	178.063	0	0.161874	4.33684	-3.9998	2.00912e-006	0	-1
0	10399.5	4.54284	0.0386355	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	85.1819	1139.55	0.847947	0.038637	177.426	0	0.161893	4.33831	-3.92555	2.36484e-006	0	-1
0	10767	4.56551	0.0383894	0.00859691	22.4775	5.92821	18.8789	4.35212	0.841098	8.40804	4.35212	18.8762	5.92719	0.00859691	84.6591	1133.27	0.847947	0.0383906	178.275	0	0.161148	4.36852	-4.2973	7.58486e-007	0	-1
-1
1	547	2.47363	0.0388589	0.00859854	22.4775	5.92821	18.8789	4.35212	0.841098	8.40804	4.35212	18.8789	5.92821	0.00859854	64.6887	530.132	0.847947	0.0388604	323.695	0	0.202782	3.01298	7.08977	4.79923e-005	0	-1
1	911	2.7441	0.0389019	0.00841694	22.2222	5.81437	18.5834	4.35212	0.841058	8.38198	4.35212	18.5834	5.81437	0.00841694	75.4214	707.105	0.847947	0.0389031	290.582	0	0.192878	3.69551	2.53942	2.97967e-005	0	-1
1	1275	3.01457	0.0389563	0.00838627	22.2222	5.81412	18.5826	4.35242	0.841058	8.38192	4.36229	18.5543	5.80579	0.00838627	79.5771	824.38	0.847947	0.0389575	263.503	0	0.179603	4.08191	-0.087345	1.92374e-005	0	-1
1	1639	3.28558	0.0389996	0.00751462	22.2224	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	81.377	901.906	0.847947	0.0390008	240.98	0	0.169772	4.29326	-1.67543	1.27442e-005	0	-1
1	2003	3.55688	0.0390295	0.00751462	22.3778	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	82.331	952.957	0.847947	0.0390308	221.904	0	0.162221	4.44729	-2.93138	7.54791e-006	0	-1
1	2370.5	3.85411	0.0387737	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	82.1856	981.416	0.847947	0.0387751	209.022	0	0.15705	4.47616	-3.70074	4.05577e-006	0	-1
1	2734.5	4.12438	0.0387799	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	82.8039	1012.68	0.847947	0.0387814	194.807	0	0.15652	4.47351	-4.02725	2.50811e-006	0	-1
1	3102	4.42586	0.0384491	0.008592	22.4775	5.92821	18.8789	4.35212	0.841098	8.40804	4.35212	18.8682	5.92411	0.008592	82.6394	1029.85	0.847947	0.0384504	183.799	0	0.154543	4.4734	-4.61956	-2.80023e-007	0	-1
1	3466	4.55703	0.0384907	0.00841694	22.2222	5.81437	18.5834	4.35212	0.841058	8.38198	4.35212	18.5834	5.81437	0.00841694	83.4205	1053.65	0.847947	0.0384919	177.81	0	0.157028	4.36655	-4.106	1.63706e-006	0	-1
1	3830	4.54852	0.0385687	0.00838085	22.2222	5.81412	18.5826	4.35242	0.841058	8.38192	4.36409	18.5492	5.80427	0.00838085	84.1808	1075.4	0.847947	0.03857	177.142	0	0.15833	4.34398	-3.8935	2.53271e-006	0	-1
1	4194	4.54049	0.0386486	0.00751462	22.2224	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	84.6939	1092.31	0.847947	0.0386498	176.45	0	0.159297	4.33318	-3.75982	3.11248e-006	0	-1
1	4558	4.53315	0.0387341	0.00751462	22.3778	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	85.063	1105.57	0.847947	0.0387356	175.748	0	0.159309	4.36913	-3.90407	2.6038e-006	0	-1
1	4925.5	4.55152	0.0385549	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	84.6756	1108.53	0.847947	0.0385563	178.152	0	0.159004	4.35386	-4.03076	1.93611e-006	0	-1
1	5289.5	4.54312	0.0386405	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	84.9578	1117.53	0.847947	0.038642	177.508	0	0.159784	4.35184	-3.94603	2.3267e-006	0	-1
1	5657	4.56557	0.0383964	0.00859164	22.4775	5.92821	18.8789	4.35212	0.841098	8.40804	4.35212	18.8676	5.92388	0.00859164	84.4862	1116.33	0.847947	0.0383976	178.338	0	0.1588	4.37741	-4.29443	8.07571e-007	0	-1
1	6021	4.55715	0.0384796	0.00841694	22.2222	5.81437	18.5834	4.35212	0.841058	8.38198	4.35212	18.5834	5.81437	0.00841694	84.7301	1122.68	0.847947	0.0384809	177.738	0	0.159997	4.30533	-3.79613	2.8129e-006	0	-1
1	6385	4.54843	0.03856	0.00833483	22.2222	5.81412	18.5826	4.35242	0.841058	8.38192	4.37934	18.5056	5.7914	0.00833483	84.9729	1128.25	0.847947	0.0385612	177.071	0	0.160406	4.30553	-3.72436	3.1521e-006	0	-1
1	6749	4.54065	0.0386383	0.00751462	22.2224	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	85.188	1132.88	0.847947	0.0386395	176.388	0	0.160721	4.3081	-3.67122	3.41459e-006	0	-1
1	7113	4.53323	0.0387243	0.00751462	22.3778	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	85.3905	1136.89	0.847947	0.0387258	175.713	0	0.160505	4.35101	-3.85379	2.75794e-006	0	-1
1	7480.5	4.55143	0.0385474	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	84.9077	1132.59	0.847947	0.0385487	178.086	0	0.161077	4.34047	-4.00222	2.0127e-006	0	-1
1	7844.5	4.54303	0.0386368	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	85.1304	1136.22	0.847947	0.0386381	177.468	0	0.161334	4.34145	-3.92853	2.36415e-006	0	-1
1	8212	4.56555	0.0383915	0.00859109	22.4775	5.92821	18.8789	4.35212	0.841098	8.40804	4.35212	18.8668	5.92354	0.00859109	84.6176	1130.7	0.847947	0.0383928	178.308	0	0.160503	4.36872	-4.28406	8.19963e-007	0	-1
1	8576	4.5569	0.0384764	0.00841694	22.2222	5.81437	18.5834	4.35212	0.841058	8.38198	4.35212	18.5834	5.81437	0.00841694	84.8419	1133.95	0.847947	0.0384775	177.685	0	0.161105	4.29847	-3.78929	2.81577e-006	0	-1
1	8940	4.54846	0.0385559	0.00839529	22.2222	5.81412	18.5826	4.35242	0.841058	8.38192	4.3593	18.5629	5.80831	0.00839529	85.0598	1136.99	0.847947	0.0385571	177.048	0	0.161174	4.29974	-3.72157	3.13999e-006	0	-1
1	9304	4.54067	0.0386359	0.00751462	22.2224	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	85.2618	1139.73	0.847947	0.0386371	176.372	0	0.161262	4.30318	-3.66868	3.40488e-006	0	-1
1	9668	4.53305	0.038725	0.00751462	22.3778	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	85.4582	1142.31	0.847947	0.0387264	175.667	0	0.160962	4.34679	-3.84951	2.75948e-006	0	-1
1	10035.5	4.55128	0.0385465	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	84.9644	1136.79	0.847947	0.0385478	178.063	0	0.161874	4.33684	-3.9998	2.00912e-006	0	-1
1	10399.5	4.54284	0.0386355	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	85.1819	1139.55	0.847947	0.038637	177.426	0	0.161893	4.33831	-3.92555	2.36484e-006	0	-1
1	10767	4.56551	0.0383894	0.00859691	22.4775	5.92821	18.8789	4.35212	0.841098	8.40804	4.35212	18.8762	5.92719	0.00859691	84.6591	1133.27	0.847947	0.0383906	178.275	0	0.161148	4.36852	-4.2973	7.58486e-007	0	-1
-1
